speed_y	speed_x	thw	timestamp	distan	thw2	gun	a_y	a_z	brake	position_x	position_y	front	a_x	speed	steer	drive-status	distan	obs-thw	obs-speed	ttc
0.081538	2.233828	6.30097664511	1533175216.152525	14.0361754083	6.26856761194	17.254902	-0.285156	-0.107765	19.938965	470782.730344	4399211.337039	-88.130610	-0.058482	2.235316	0.787234	1.000000	10.9904164724	0.56332975292	19.5097390391	5.73764689219
0.082037	2.231453	6.27041996512	1533175216.162522	14.0128334078	6.26883778748	17.532616	-0.149597	-0.047333	20.079348	470782.752798	4399211.337354	-88.129499	0.007631	2.232961	0.744681	1.000000	10.9360289473	0.560628151633	19.5067424201	5.70979181349
0.081304	2.228523	6.26701556827	1533175216.172522	13.9903771983	6.26539254306	17.532616	-0.056005	-0.115162	20.079348	470782.775228	4399211.337668	-88.128592	0.010018	2.230006	0.744681	1.000000	10.8816464996	0.557915812182	19.5041012676	5.70909975609
0.081834	2.227047	6.26522883813	1533175216.182525	13.9679450006	6.26363561379	17.517357	-0.225189	-0.334162	19.568171	470782.797637	4399211.337980	-88.128267	0.063414	2.228550	0.680851	1.000000	10.8268870612	0.555537240949	19.4890391915	5.70969159718
0.082039	2.224005	6.25926422173	1533175216.192522	13.9455338287	6.25767150332	17.517357	-0.335699	0.114088	19.568171	470782.820008	4399211.338297	-88.126668	-0.027222	2.225518	0.680851	1.000000	10.7727411876	0.552739968131	19.4897091014	5.7065242536
0.082529	2.221731	6.25773053387	1533175216.202522	13.9231605828	6.25614377545	17.157244	-0.490286	-0.179186	19.607843	470782.842362	4399211.338618	-88.125991	-0.039512	2.223263	0.638298	1.000000	10.718607225	0.549878299227	19.4926900007	5.70785223464
0.082553	2.218677	6.25479970559	1533175216.212522	13.9008042782	6.25243359791	17.157244	-0.298238	-0.009394	19.607843	470782.865028	4399211.338836	-88.125656	-0.027565	2.220212	0.638298	1.000000	10.6645036522	0.547073264699	19.4937393953	5.70772644089
0.082750	2.216755	6.25319071631	1533175216.222522	13.8781372299	6.25081624183	17.108416	-0.172524	-0.388891	19.722286	470782.887671	4399211.339054	-88.124962	-0.011775	2.218299	0.595745	1.000000	10.610386707	0.544396651089	19.4901763003	5.70879406522
0.082566	2.213558	6.248384414	1533175216.232525	13.8554931805	6.24599893005	17.108416	-0.034201	0.086475	19.722286	470782.910296	4399211.339273	-88.123523	0.036336	2.215097	0.595745	1.000000	10.5562652289	0.54171388677	19.4867908812	5.70667052723
0.082479	2.211930	6.24720427852	1533175216.242522	13.8328671206	6.24481326126	17.370871	-0.156565	-0.292324	19.836729	470782.932877	4399211.339490	-88.122765	0.050946	2.213467	0.595745	1.000000	10.5021350079	0.53892232248	19.4872889279	5.70828195604
