speed_y	speed_x	thw	timestamp	distan	thw2	gun	a_y	a_z	brake	position_x	position_y	front	a_x	speed	steer	drive-status	obs-distan	obs-thw	obs-speed	ttc
-0.160997	-0.648400	13.3519810661	1533265695.548363	8.84431583706	13.3518051423	16.699474	0.545286	-0.232359	13.797208	433316.766580	4437235.899241	106.326698	-0.052099	0.668089	57.765957	1.000000	8.02335644454	0.742705308069	10.8028801698	12.609275758
-0.162434	-0.651030	13.2237596497	1533265695.558363	8.83452432063	13.2235739858	16.585032	0.504313	-0.316540	13.791104	433316.760199	4437235.897692	106.370770	-0.057240	0.670988	57.744682	1.000000	7.97867461349	0.742526966775	10.7452994578	12.4812326829
-0.163341	-0.653942	13.1568756542	1533265695.568363	8.82795800017	13.1566555589	16.585032	0.413861	-0.129137	13.791104	433316.753785	4437235.896131	106.414771	-0.061411	0.674032	57.744682	1.000000	7.94899828928	0.742224629841	10.709693494	12.4146510244
-0.164193	-0.657246	13.0876483159	1533265695.578363	8.82135677929	13.0874450757	16.552986	0.247863	-0.248285	13.794156	433316.747336	4437235.894560	106.457860	-0.019736	0.677445	57.744682	1.000000	7.91940707746	0.742272776704	10.6691331354	12.3453755392
-0.164675	-0.660560	13.0119543442	1533265695.583363	8.81471918625	13.0117119268	16.552986	0.186789	-0.239042	13.794156	433316.744098	4437235.893772	106.479951	-0.002523	0.680777	57.744682	1.000000	7.88993783458	0.742120293172	10.6316158002	12.269834051
-0.165019	-0.667065	12.9431337721	1533265695.598368	8.81138668164	12.9431321587	16.847486	0.091395	-0.011404	13.771267	433316.734455	4437235.891362	106.546090	0.037660	0.687174	57.744682	1.000000	7.87527471118	0.7422488403	10.6100195562	12.2008849318
-0.164949	-0.670863	12.808641553	1533265695.608363	8.80144708661	12.8081782585	16.847486	0.142962	-0.167242	13.771267	433316.727877	4437235.889793	106.591149	0.105760	0.690844	57.744682	1.000000	7.83138306605	0.742436883386	10.5482139173	12.0662046696
-0.164906	-0.674481	12.7307633815	1533265695.618363	8.79468455412	12.7303480295	17.140459	0.302634	-0.095938	13.842984	433316.721262	4437235.888223	106.635812	0.120869	0.694348	57.723404	1.000000	7.80226556833	0.74257025009	10.5071076674	11.9881931314
-0.165321	-0.677833	12.6567418761	1533265695.628363	8.78788579495	12.6563132535	17.140459	0.409067	-0.109402	13.842984	433316.714614	4437235.886655	106.681029	0.146528	0.697702	57.723404	1.000000	7.77327018199	0.742888002509	10.4635828762	11.9138538736
-0.165767	-0.681523	12.58585269	1533265695.638363	8.78105538302	12.5856818284	17.352560	0.502382	-0.060523	13.797208	433316.707941	4437235.885065	106.726824	0.068412	0.701393	57.723404	1.000000	7.74437574307	0.742732971561	10.4268640812	11.8431197184
-0.166388	-0.684539	12.5097065158	1533265695.648363	8.77419557031	12.5096708554	17.352560	0.557154	-0.052891	13.797208	433316.701242	4437235.883453	106.773182	0.079845	0.704470	57.723404	1.000000	7.71557656511	0.742925631281	10.3853955769	11.7667808845
-0.167214	-0.687657	12.445279	1533265695.658363	8.7673053495	12.4452501164	17.615015	0.457358	-0.128377	13.792630	433316.694510	4437235.881834	106.819265	0.037943	0.707695	57.723404	1.000000	7.68687121074	0.743008365417	10.3456052025	11.7022706346
-0.168298	-0.690208	12.3787761553	1533265695.668363	8.76038140664	12.3787527206	17.615015	0.358316	0.056137	13.792630	433316.687747	4437235.880205	106.866249	-0.006650	0.710430	57.723404	1.000000	7.65828641444	0.743167537214	10.3049259164	11.6356086181
-0.170268	-0.692753	12.3213159494	1533265695.678363	8.75342498432	12.3213053845	17.763027	0.209806	-0.083655	13.798734	433316.680956	4437235.878561	106.913099	-0.064731	0.713371	57.702129	1.000000	7.62981575418	0.74343181474	10.2629664253	11.5778841347
-0.171987	-0.694770	12.2608072578	1533265695.688363	8.74643782355	12.2607140234	17.763027	0.130892	-0.035656	13.798734	433316.674276	4437235.876892	106.961839	-0.131172	0.715741	57.702129	1.000000	7.60145767533	0.743667533939	10.2215806505	11.5171397239
-0.174594	-0.696866	12.2106307376	1533265695.698363	8.73955247966	12.2104958074	17.877470	0.099266	0.048680	13.867399	433316.667426	4437235.875230	107.008936	-0.172018	0.718404	57.680851	1.000000	7.57321261485	0.743927795066	10.1800371825	11.4667029425
-0.177426	-0.699020	12.15551656	1533265695.708363	8.73250373904	12.1554219339	17.877470	0.159718	0.026935	13.867399	433316.660559	4437235.873540	107.056520	-0.188654	0.721186	57.680851	1.000000	7.54515400622	0.744292228378	10.1373542791	11.4112243316
-0.179957	-0.701101	12.0988528966	1533265695.718363	8.72543183758	12.0987260396	17.909513	0.303140	0.065342	13.798734	433316.653672	4437235.871825	107.103977	-0.160327	0.723828	57.659573	1.000000	7.51716075854	0.744658740578	10.0947727448	11.354194156
-0.183590	-0.703194	12.0447871136	1533265695.733363	8.71833451462	12.0447599632	17.909513	0.403635	0.012660	13.798734	433316.643304	4437235.869188	107.174758	-0.168464	0.726765	57.659573	1.000000	7.46152321693	0.745209031352	10.0126580637	11.2995780822
-0.185051	-0.704607	11.9813734988	1533265695.738363	8.70763642174	11.98136457	17.909513	0.402467	-0.040410	13.798734	433316.639839	4437235.868287	107.198467	-0.153716	0.728501	57.659573	1.000000	7.46152321693	0.745209031352	10.0126580637	11.2361644674
-0.187316	-0.706207	11.9478864939	1533265695.748363	8.70405619449	11.9478987599	17.483788	0.365571	0.112015	13.870451	433316.632893	4437235.866466	107.245462	-0.185317	0.730627	57.659573	1.000000	7.43385540937	0.745525059781	9.97130185208	11.2023614341
-0.189212	-0.707897	11.9033108933	1533265695.758363	8.69687545929	11.9033042295	17.483788	0.271390	0.082268	13.870451	433316.625928	4437235.864625	107.292558	-0.171744	0.732748	57.659573	1.000000	7.40630817605	0.745903043411	9.92931754532	11.1574078499
-0.190938	-0.709951	11.8600384723	1533265695.768363	8.68967125893	11.8590173688	16.847486	0.188241	0.097224	13.798734	433316.618802	4437235.862820	107.340210	-0.157759	0.735179	57.638298	1.000000	7.37886776746	0.746266090328	9.88771681186	11.113772382
-0.192016	-0.711472	11.8098764907	1533265695.778363	8.6823202113	11.8098044304	16.847486	0.166288	0.131732	13.798734	433316.611852	4437235.860976	107.387647	-0.128116	0.736928	57.638298	1.000000	7.3516140013	0.746546311894	9.8474989216	11.0633301788
-0.192683	-0.713074	11.7734063685	1533265695.783363	8.67512974286	11.7720180843	16.585032	0.149339	0.103142	13.771267	433316.608278	4437235.860070	107.411514	-0.107640	0.738648	57.638298	1.000000	7.32448612303	0.747002749927	9.8051662109	11.0264036186
-0.194104	-0.716164	11.7409617651	1533265695.798363	8.67144269639	11.7396143987	16.585032	0.185764	0.152591	13.771267	433316.597522	4437235.857338	107.484389	-0.047744	0.742002	57.638298	1.000000	7.2974964466	0.74720322187	9.76641458845	10.9937585432
-0.194779	-0.718912	11.6730249558	1533265695.808363	8.66034515785	11.6715927421	16.714733	0.202601	-0.043070	13.864347	433316.590321	4437235.855507	107.534118	0.024074	0.744831	57.617020	1.000000	7.27060585792	0.747737068163	9.72347923821	10.9252878876
-0.195494	-0.721554	11.6186880766	1533265695.818363	8.65291501915	11.6172863631	16.714733	0.268190	0.082994	13.864347	433316.583094	4437235.853669	107.584290	0.034986	0.747568	57.617020	1.000000	7.24383156637	0.748317089204	9.68016322342	10.8703709874
-0.196108	-0.724139	11.5661868703	1533265695.828363	8.64545795705	11.5647779962	16.861219	0.287811	0.064396	13.817044	433316.575841	4437235.851825	107.633578	0.037198	0.750223	57.617020	1.000000	7.21717997821	0.748785615339	9.63851312094	10.817401255
-0.197353	-0.726482	11.5151996328	1533265695.838363	8.63797421834	11.5138754988	16.861219	0.311509	-0.041937	13.817044	433316.568565	4437235.849973	107.683335	0.017878	0.752811	57.617020	1.000000	7.19062933833	0.749217062543	9.5975248	10.7659825703
-0.198698	-0.728639	11.4653981806	1533265695.848363	8.63046621725	11.4643200182	16.894789	0.369002	0.009872	13.839932	433316.561269	4437235.848098	107.733537	-0.039540	0.755246	57.617020	1.000000	7.16418773858	0.74946561685	9.55906125313	10.7159325638
-0.200157	-0.731212	11.4184592477	1533265695.858363	8.62293314075	11.4173833966	16.894789	0.345432	-0.104641	13.839932	433316.553949	4437235.846209	107.784808	-0.078034	0.758112	57.617020	1.000000	7.1378614799	0.750052452207	9.51648309248	10.6684067955
-0.201539	-0.733686	11.3653017337	1533265695.868363	8.61537333125	11.3642487274	17.140459	0.342693	-0.002003	13.817044	433316.546602	4437235.844305	107.835710	-0.074769	0.760863	57.617020	1.000000	7.09859554712	0.750797419595	9.4547415346	10.6145043141
-0.202962	-0.736808	11.3142327271	1533265695.878363	8.60778362615	11.3131846681	17.305256	0.279693	-0.098258	13.769741	433316.539227	4437235.842387	107.887859	-0.073873	0.764251	57.617020	1.000000	7.07255951062	0.751459563144	9.41176326379	10.562773164
-0.203468	-0.739400	11.2540176662	1533265695.888363	8.60016330133	11.2530612342	17.305256	0.309103	-0.096593	13.769741	433316.531999	4437235.840497	107.935395	-0.042413	0.766885	57.617020	1.000000	7.05958894034	0.752127976004	9.38615390675	10.5018896902
-0.204526	-0.742161	11.2064599244	1533265695.898363	8.59269228511	11.2046686076	17.485313	0.233655	-0.140462	16.206608	433316.524568	4437235.838594	107.987237	-0.018326	0.769827	57.595745	1.000000	7.05958894034	0.752127976004	9.38615390675	10.4543319484
-0.205650	-0.744993	11.1536273964	1533265695.908363	8.5850214852	11.1518841054	17.485313	0.182233	-0.041328	16.206608	433316.517110	4437235.836680	108.039142	-0.011248	0.772856	57.595745	1.000000	6.99528405604	0.753844218595	9.2794822637	10.3997831778
-0.206369	-0.748102	11.1000226359	1533265695.918368	8.57732179948	11.0982146732	17.746243	0.179765	0.003296	17.137407	433316.509619	4437235.834757	108.091556	0.003590	0.776044	57.595745	1.000000	6.96976207208	0.754445390935	9.23825919785	10.345577245
-0.207358	-0.751993	11.0442201833	1533265695.933363	8.56958791249	11.0426572623	17.746243	0.273119	-0.079018	17.137407	433316.498351	4437235.831852	108.171426	0.034325	0.780058	57.595745	1.000000	6.93167221171	0.755150593803	9.17919189708	10.2890695895
-0.207977	-0.754222	10.972074656	1533265695.938363	8.55795146762	10.9709168647	17.746243	0.315622	-0.092193	17.137407	433316.494584	4437235.830872	108.198376	0.015552	0.782372	57.595745	1.000000	6.91903442108	0.755462796745	9.15866995818	10.2166118593
-0.208657	-0.758496	10.934713366	1533265695.953363	8.55405907898	10.9334933752	17.892729	0.465866	-0.080096	18.173494	433316.483236	4437235.827924	108.278561	0.030645	0.786673	57.595745	1.000000	6.88130267864	0.756957921544	9.09073342492	10.1777554445
