auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
12.891448	-1.114713	12.843163	126.333440	0.087524	-1025001.000000	1.759979	-0.192553	1.749413	11.132011	-0.922159	11.093750	1.000000	11.348663	1542945305.707155	9.799787
12.890646	-1.114595	12.842369	126.127602	0.087765	-1025001.000000	1.759979	-0.192553	1.749413	11.131209	-0.922041	11.092955	1.000000	11.330989	1542945305.723153	9.784428
12.889674	-1.114138	12.841433	126.024667	0.087883	-1025001.000000	1.759979	-0.192553	1.749413	11.130239	-0.921584	11.092020	1.000000	11.322728	1542945305.731154	9.777180
12.888874	-1.113424	12.840692	125.921748	0.087997	-1025001.000000	1.759979	-0.192553	1.749413	11.129441	-0.920871	11.091278	1.000000	11.314292	1542945305.739154	9.769802
12.888498	-1.114263	12.840241	125.715929	0.088228	-1025001.000000	1.759979	-0.192553	1.749413	11.129061	-0.921710	11.090827	1.000000	11.296185	1542945305.755154	9.754118
12.888856	-1.113815	12.840640	125.612862	0.088314	-1025001.000000	1.759979	-0.192553	1.749413	11.129421	-0.921262	11.091226	1.000000	11.286558	1542945305.763155	9.745850
12.895050	-1.112703	12.846953	125.097445	0.088693	-1025001.000000	1.759979	-0.192553	1.749413	11.135621	-0.920150	11.097539	1.000000	11.233989	1542945305.803158	9.701199
12.894819	-1.112652	12.846726	124.994409	0.088764	-1025001.000000	1.759979	-0.192553	1.749413	11.135390	-0.920098	11.097312	1.000000	11.224969	1542945305.811153	9.693382
12.893920	-1.113000	12.845793	124.891272	0.088836	-1025001.000000	1.759979	-0.192553	1.749413	11.134490	-0.920447	11.096380	1.000000	11.216614	1542945305.819156	9.686059
12.893677	-1.112461	12.845596	124.788190	0.088908	-1025001.000000	1.759979	-0.192553	1.749413	11.134248	-0.919908	11.096182	1.000000	11.207599	1542945305.827155	9.678247
12.893125	-1.109998	12.845255	128.658619	0.089029	-1025001.000000	2.000126	-0.218576	1.988147	10.893641	-0.891423	10.857108	1.000000	11.810433	1542945305.843155	9.978855
12.893402	-1.107806	12.845722	128.555542	0.089070	-1025001.000000	2.000126	-0.218576	1.988147	10.893928	-0.889231	10.857575	1.000000	11.800660	1542945305.851154	9.970645
12.894056	-1.105514	12.846576	128.452452	0.089093	-1025001.000000	2.000126	-0.218576	1.988147	10.894592	-0.886938	10.858429	1.000000	11.790479	1542945305.859154	9.962145
12.884137	-1.097152	12.837337	128.369218	0.088882	-1025001.000000	2.000126	-0.218576	1.988147	10.884706	-0.878576	10.849190	1.000000	11.793540	1542945305.867156	9.963354
12.886533	-1.096516	12.839797	128.163287	0.088323	-1025001.000000	2.000126	-0.218576	1.988147	10.887107	-0.877940	10.851650	1.000000	11.772025	1542945305.883154	9.945521
12.886774	-1.097053	12.839993	128.060309	0.088043	-1025001.000000	2.000126	-0.218576	1.988147	10.887345	-0.878478	10.851846	1.000000	11.762308	1542945305.891153	9.937344
12.886828	-1.097407	12.840017	127.957281	0.087767	-1025001.000000	2.000126	-0.218576	1.988147	10.887397	-0.878832	10.851869	1.000000	11.752789	1542945305.899156	9.929308
12.887108	-1.097792	12.840265	127.854316	0.087493	-1025001.000000	2.000126	-0.218576	1.988147	10.887676	-0.879216	10.852118	1.000000	11.743031	1542945305.907154	9.921102
12.885163	-1.100343	12.838095	127.648350	0.087017	-1025001.000000	2.000126	-0.218576	1.988147	10.885719	-0.881767	10.849948	1.000000	11.726221	1542945305.923155	9.906615
12.884290	-1.100616	12.837195	127.545391	0.086813	-1025001.000000	2.000126	-0.218576	1.988147	10.884844	-0.882040	10.849047	1.000000	11.717705	1542945305.931155	9.899296
12.883511	-1.101082	12.836373	128.434113	0.086613	-1025001.000000	2.000066	-0.221962	1.987711	10.884224	-0.879120	10.848662	1.000000	11.800025	1542945305.939155	9.968875
12.884126	-1.101578	12.836948	128.331175	0.086417	-1025001.000000	2.000066	-0.221962	1.987711	10.884836	-0.879616	10.849236	1.000000	11.789904	1542945305.947154	9.960410
12.886679	-1.100533	12.839600	128.125276	0.086020	-1025001.000000	2.000066	-0.221962	1.987711	10.887395	-0.878570	10.851889	1.000000	11.768221	1542945305.963152	9.942459
12.888176	-1.100208	12.841130	128.022244	0.085813	-1025001.000000	2.000066	-0.221962	1.987711	10.888894	-0.878246	10.853418	1.000000	11.757140	1542945305.971156	9.933310
12.889722	-1.100045	12.842695	127.919275	0.085604	-1025001.000000	2.000066	-0.221962	1.987711	10.890441	-0.878082	10.854984	1.000000	11.746014	1542945305.979154	9.924130
12.890592	-1.099153	12.843645	127.713243	0.085174	-1025001.000000	2.000066	-0.221962	1.987711	10.891316	-0.877191	10.855934	1.000000	11.726153	1542945305.995156	9.907477
